prompt,answer,topic,family,difficulty,iso2
🇬🇧,United Kingdom,World Flags,Geography,starter,GB
🇫🇷,France,World Flags,Geography,starter,FR
🇩🇪,Germany,World Flags,Geography,starter,DE
🇮🇹,Italy,World Flags,Geography,starter,IT
🇪🇸,Spain,World Flags,Geography,starter,ES
🇵🇹,Portugal,World Flags,Geography,starter,PT
🇳🇱,Netherlands,World Flags,Geography,starter,NL
🇧🇪,Belgium,World Flags,Geography,starter,BE
🇨🇭,Switzerland,World Flags,Geography,starter,CH
🇦🇹,Austria,World Flags,Geography,starter,AT
🇸🇪,Sweden,World Flags,Geography,starter,SE
🇳🇴,Norway,World Flags,Geography,starter,NO
🇩🇰,Denmark,World Flags,Geography,starter,DK
🇫🇮,Finland,World Flags,Geography,starter,FI
🇮🇪,Ireland,World Flags,Geography,starter,IE
🇵🇱,Poland,World Flags,Geography,starter,PL
🇨🇿,Czechia,World Flags,Geography,starter,CZ
🇭🇺,Hungary,World Flags,Geography,starter,HU
🇬🇷,Greece,World Flags,Geography,starter,GR
🇹🇷,Turkey,World Flags,Geography,starter,TR
🇺🇸,United States,World Flags,Geography,starter,US
🇨🇦,Canada,World Flags,Geography,starter,CA
🇲🇽,Mexico,World Flags,Geography,starter,MX
🇧🇷,Brazil,World Flags,Geography,starter,BR
🇦🇷,Argentina,World Flags,Geography,starter,AR
🇨🇱,Chile,World Flags,Geography,starter,CL
🇨🇴,Colombia,World Flags,Geography,starter,CO
🇵🇪,Peru,World Flags,Geography,starter,PE
🇻🇪,Venezuela,World Flags,Geography,starter,VE
🇺🇾,Uruguay,World Flags,Geography,starter,UY
🇯🇵,Japan,World Flags,Geography,starter,JP
🇰🇷,South Korea,World Flags,Geography,starter,KR
🇨🇳,China,World Flags,Geography,starter,CN
🇮🇳,India,World Flags,Geography,starter,IN
🇵🇰,Pakistan,World Flags,Geography,starter,PK
🇮🇩,Indonesia,World Flags,Geography,starter,ID
🇲🇾,Malaysia,World Flags,Geography,starter,MY
🇵🇭,Philippines,World Flags,Geography,starter,PH
🇹🇭,Thailand,World Flags,Geography,starter,TH
🇻🇳,Vietnam,World Flags,Geography,starter,VN
🇦🇺,Australia,World Flags,Geography,starter,AU
🇳🇿,New Zealand,World Flags,Geography,starter,NZ
🇪🇬,Egypt,World Flags,Geography,starter,EG
🇿🇦,South Africa,World Flags,Geography,starter,ZA
🇳🇬,Nigeria,World Flags,Geography,starter,NG
🇰🇪,Kenya,World Flags,Geography,starter,KE
🇪🇹,Ethiopia,World Flags,Geography,starter,ET
🇲🇦,Morocco,World Flags,Geography,starter,MA
🇩🇿,Algeria,World Flags,Geography,starter,DZ
🇹🇳,Tunisia,World Flags,Geography,starter,TN
