prompt,answer,topic,family,difficulty
Which emperor legalised Christianity across the empire?,Constantine the Great,History,Ancient Rome,mid
Which emperor founded the Flavian dynasty?,Vespasian,History,Ancient Rome,starter
Which Roman emperor was known for the 'pax Romana' reforms?,Augustus,History,Ancient Rome,mid
Which emperor completed Hadrian's Wall?,Hadrian,History,Ancient Rome,mid
In which battle did Hannibal defeated Rome?,Battle of Cannae,History,Ancient Rome,mid
In which battle did Scipio defeated Hannibal?,Battle of Zama,History,Ancient Rome,hard
In which battle did Octavian beat Antony & Cleopatra?,Battle of Actium,History,Ancient Rome,mid
In which battle did Caesar beat Pompey?,Battle of Pharsalus,History,Ancient Rome,starter
In which battle did Varus lost three legions?,Battle of Teutoburg Forest,History,Ancient Rome,hard
In which battle did Constantine defeated Maxentius?,Battle of Milvian Bridge,History,Ancient Rome,starter
In which battle did Valens killed by Goths?,Battle of Adrianople,History,Ancient Rome,mid
In which battle did Caesar beat Vercingetorix?,Battle of Alesia,History,Ancient Rome,starter
In which battle did Crassus defeated by Parthia?,Battle of Carrhae,History,Ancient Rome,hard
In which battle did Suetonius Paulinus defeated Boudica?,Battle of Watling Street,History,Ancient Rome,starter
Which famous Roman road linked Rome to Capua and southern Italy?,Via Appia,History,Ancient Rome,mid
Which Roman aqueduct supplied water from the Anio valley to Rome in the 1st century AD?,Aqua Anio Novus,History,Ancient Rome,hard
Which Roman amphitheatre was originally called the Flavian Amphitheatre?,Colosseum,History,Ancient Rome,starter
Which Roman temple is famed for its unreinforced concrete dome and oculus?,Pantheon,History,Ancient Rome,starter
What was the primary venue for chariot racing in ancient Rome?,Circus Maximus,History,Ancient Rome,mid
Which extraordinary office granted a single magistrate supreme power for a limited time?,dictator,History,Ancient Rome,mid
Which Roman magistrate maintained the census and oversaw public morals?,censor,History,Ancient Rome,starter
Which Republican office could veto the actions of magistrates to protect plebeians?,tribune of the plebs,History,Ancient Rome,mid
"In Roman religion, who/what was the pontifex maximus?",pontifex maximus,History,Ancient Rome,starter
"In Roman religion, who/what was the Vestal Virgins?",Vestal Virgins,History,Ancient Rome,starter
"In Roman religion, who/what was the augur?",augur,History,Ancient Rome,starter
"In Roman religion, who/what was the haruspex?",haruspex,History,Ancient Rome,mid
"In Roman history, what does the term 'SPQR' refer to?",SPQR,History,Ancient Rome,starter
"In Roman history, what does the term 'cursus honorum' refer to?",cursus honorum,History,Ancient Rome,mid
"In Roman history, what does the term 'latifundia' refer to?",latifundia,History,Ancient Rome,starter
"In Roman history, what does the term 'limes' refer to?",limes,History,Ancient Rome,hard
"In Roman history, what does the term 'legion' refer to?",legion,History,Ancient Rome,starter
"In Roman history, what was a 'century' in the army?",a unit of roughly 80 men led by a centurion,History,Ancient Rome,starter
"In Roman history, what were the 'auxilia'?",non-citizen troops supporting the Roman legions,History,Ancient Rome,starter
"In Roman society, who were the patricians?",members of aristocratic families,History,Ancient Rome,starter
"In Roman society, who were the plebeians?",common citizens of Rome,History,Ancient Rome,mid
"In Roman society, what was 'clientela'?",the patron-client relationship system,History,Ancient Rome,mid
"In Roman politics, what was 'imperium'?",the legal authority to command and govern,History,Ancient Rome,starter
What does the term 'Pax Romana' describe?,a long period of relative peace and stability (27 BC–AD 180),History,Ancient Rome,starter
"In Roman society, what was a 'domus'?",a townhouse or residence of a wealthy Roman,History,Ancient Rome,starter
"In Roman society, what was an 'insula'?",an apartment block for the urban poor,History,Ancient Rome,mid
"In ancient Rome, what were the 'thermae'?",public baths,History,Ancient Rome,starter
Who wrote the epic poem the 'Aeneid'?,Virgil,History,Ancient Rome,hard
Which historian wrote the 'Annals' and the 'Histories' about the early empire?,Tacitus,History,Ancient Rome,starter
"Which province, annexed after Actium, was ruled directly by a prefect under the emperor?",Aegyptus,History,Ancient Rome,starter
Which Roman law or edict earliest codification of Roman law?,Twelve Tables,History,Ancient Rome,mid
Which Roman law or edict made plebiscites binding on all citizens?,Lex Hortensia,History,Ancient Rome,starter
Which Roman law or edict legalised Christianity?,Edict of Milan,History,Ancient Rome,mid
Which Roman law or edict granted citizenship to most free inhabitants?,Constitutio Antoniniana,History,Ancient Rome,starter
Which Roman law or edict allowed intermarriage between patricians and plebeians?,Lex Canuleia,History,Ancient Rome,hard
Which Roman law or edict restricted senators from owning large ships?,Lex Claudia,History,Ancient Rome,mid
"Who crossed the Rubicon in 49 BC, sparking civil war?",Julius Caesar,History,Ancient Rome,mid
Who led the Carthaginians across the Alps with war elephants?,Hannibal,History,Ancient Rome,starter
Which emperor built a defensive wall across northern Britannia?,Hadrian,History,Ancient Rome,starter
Who was the first Christian emperor of Rome?,Constantine the Great,History,Ancient Rome,mid
Which slave led a major revolt against Rome in 73–71 BC?,Spartacus,History,Ancient Rome,mid
Which general defeated Hannibal at the Battle of Zama?,Scipio Africanus,History,Ancient Rome,mid
Which emperor is counted among the 'Five Good Emperors'?,Nerva,History,Ancient Rome,mid
Which emperor belonged to the Julio‑Claudian dynasty?,Augustus,History,Ancient Rome,mid
Which emperor was a member of the Flavian dynasty?,Vespasian,History,Ancient Rome,starter
Which emperor ruled during the Severan dynasty?,Septimius Severus,History,Ancient Rome,mid
Which ruler was part of Diocletian's Tetrarchy?,Diocletian,History,Ancient Rome,hard
Who wrote 'Aeneid'?,Virgil,History,Ancient Rome,starter
Who wrote 'Metamorphoses'?,Ovid,History,Ancient Rome,mid
Who wrote 'Ab Urbe Condita'?,Livy,History,Ancient Rome,starter
Who wrote 'Germania'?,Tacitus,History,Ancient Rome,hard
Who wrote 'Annals'?,Tacitus,History,Ancient Rome,mid
Who wrote 'Histories'?,Tacitus,History,Ancient Rome,hard
Who wrote 'Parallel Lives'?,Plutarch,History,Ancient Rome,starter
Who wrote 'The Twelve Caesars'?,Suetonius,History,Ancient Rome,starter
Who wrote 'De Bello Gallico'?,Julius Caesar,History,Ancient Rome,mid
Who wrote 'Letters'?,Pliny the Younger,History,Ancient Rome,mid
Who wrote 'Natural History'?,Pliny the Elder,History,Ancient Rome,mid
Who wrote 'Catiline Conspiracy'?,Sallust,History,Ancient Rome,hard
Who wrote 'Meditations'?,Marcus Aurelius,History,Ancient Rome,starter
Who wrote 'On the Nature of Things'?,Lucretius,History,Ancient Rome,starter
Which emperor commissioned the Pantheon's rebuilding in brick and concrete?,Hadrian,History,Ancient Rome,hard
Which emperor opened the Colosseum with games lasting 100 days?,Titus,History,Ancient Rome,starter
Which structure marked Rome's northern frontier in Britannia?,Hadrian's Wall,History,Ancient Rome,starter
Which monumental column in Rome commemorates Dacian campaigns?,Trajan's Column,History,Ancient Rome,starter
What was the large public bath complex called in Rome?,thermae,History,Ancient Rome,mid
What do we call a wealthy Roman townhouse?,domus,History,Ancient Rome,hard
What was the relationship system between patrons and dependants?,clientela,History,Ancient Rome,mid
Which Roman structure is described as giant public baths built in early 3rd century?,Baths of Caracalla,History,Ancient Rome,starter
Which Roman law or edict legalised Christianity (AD 313)?,Edict of Milan,History,Ancient Rome,hard
"Which Roman emperor Stoic philosopher, wrote 'Meditations'?",Marcus Aurelius,History,Ancient Rome,starter
Which Roman structure is described as monument celebrating Dacian campaigns?,Trajan's Column,History,Ancient Rome,hard
"In ancient Rome, who or what were the senate?",political institution of aristocrats,History,Ancient Rome,starter
In which battle Scipio Africanus defeated Hannibal in 202 BC?,Battle of Zama,History,Ancient Rome,mid
"In Roman history, what was 'clientela'?",patron‑client relationship system,History,Ancient Rome,starter
"In Roman history, what was 'cursus honorum'?",sequence of public offices,History,Ancient Rome,starter
In which battle three Roman legions lost under Varus in AD 9?,Battle of Teutoburg Forest,History,Ancient Rome,hard
"Which Roman structure is described as largest amphitheatre, used for gladiatorial games?",Colosseum,History,Ancient Rome,hard
Which Roman emperor conquered Britannia in AD 43?,Claudius,History,Ancient Rome,starter
"In Roman history, what was 'century'?",unit of ~80 men led by a centurion,History,Ancient Rome,starter
"In ancient Rome, who or what were the domus?",townhouse of wealthy Romans,History,Ancient Rome,starter
"In ancient Rome, who or what were the gladiators?",fighters who entertained crowds in arenas,History,Ancient Rome,hard
Which Roman law or edict earliest codification of Roman law (c. 450 BC)?,Twelve Tables,History,Ancient Rome,starter
"In ancient Rome, who or what were the insula?",apartment blocks for the poor,History,Ancient Rome,mid
"In Roman history, what was 'pax Romana'?",period of peace from Augustus to Marcus Aurelius,History,Ancient Rome,mid
In which battle Valens was killed by the Goths in AD 378?,Battle of Adrianople,History,Ancient Rome,mid
Who wrote the 'Annals' and 'Histories'?,Tacitus,History,Ancient Rome,hard
In which battle Constantine defeated Maxentius in AD 312?,Battle of Milvian Bridge,History,Ancient Rome,mid
In which battle Hannibal inflicted a massive defeat on Rome in 216 BC?,Battle of Cannae,History,Ancient Rome,hard
Which Roman structure is described as temple with massive dome and oculus?,Pantheon,History,Ancient Rome,starter
"In ancient Rome, who or what were the Vestal Virgins?",priestesses who kept the sacred fire of Vesta,History,Ancient Rome,mid
"In Roman history, what was 'latifundia'?",large agricultural estates,History,Ancient Rome,mid
"In Roman history, what was 'legion'?",main heavy infantry unit of Rome,History,Ancient Rome,starter
"Which Roman emperor notorious for cruelty, assassinated by Praetorians?",Caligula,History,Ancient Rome,starter
Which Roman emperor introduced the Tetrarchy and price edict?,Diocletian,History,Ancient Rome,mid
Who famous for letters on eruption of Vesuvius?,Pliny the Younger,History,Ancient Rome,mid
"In Roman history, what was 'auxilia'?",non‑citizen troops supporting the legions,History,Ancient Rome,starter
Which Roman emperor led Rome to its greatest territorial extent?,Trajan,History,Ancient Rome,starter
"In Roman history, what was 'imperium'?",legal authority to command,History,Ancient Rome,starter
Who historian of the Catiline Conspiracy?,Sallust,History,Ancient Rome,hard
Which Roman emperor assassinated on the Ides of March 44 BC?,Julius Caesar,History,Ancient Rome,mid
Which Roman structure is described as fortification across northern Britain?,Hadrian's Wall,History,Ancient Rome,starter
Which Roman structure is described as huge chariot‑racing stadium in Rome?,Circus Maximus,History,Ancient Rome,hard
Which Roman emperor emperor during the Great Fire of Rome?,Nero,History,Ancient Rome,starter
Which Roman law or edict granted citizenship to nearly all free inhabitants (AD 212)?,Constitutio Antoniniana,History,Ancient Rome,starter
In which battle Octavian defeated Antony and Cleopatra in 31 BC?,Battle of Actium,History,Ancient Rome,starter
"In ancient Rome, who or what were the forum?",public square and marketplace,History,Ancient Rome,hard
Who wrote the 'Aeneid'?,Virgil,History,Ancient Rome,mid
Which Roman emperor legalised Christianity with the Edict of Milan?,Constantine the Great,History,Ancient Rome,mid
"In ancient Rome, who or what were the thermae?",public bath complexes,History,Ancient Rome,hard
"Which Roman emperor first emperor of Rome, established the principate?",Augustus,History,Ancient Rome,starter
Which Roman law or edict made plebiscites binding on all Romans (287 BC)?,Lex Hortensia,History,Ancient Rome,starter
Which Roman emperor built a defensive wall in northern Britain?,Hadrian,History,Ancient Rome,starter
"In Roman literature, who was Seneca?",Stoic philosopher and tutor of Nero,History,Ancient Rome,starter
"In Roman government, what was the role of a praetor?",magistrate overseeing law courts,History,Ancient Rome,starter
"In Roman religion, who was Venus?",goddess of love and beauty,History,Ancient Rome,hard
"In Roman government, what was the role of a dictator?",emergency magistrate with absolute authority for six months,History,Ancient Rome,mid
"In the Roman army, what was a centurion?",commander of a century (~80 men),History,Ancient Rome,starter
What was the Roman festival of Lupercalia?,festival of purification and fertility held in February,History,Ancient Rome,mid
"In Roman government, what was the role of a tribune of the plebs?",official who could veto measures to protect plebeians,History,Ancient Rome,starter
"In Roman literature, who was Cicero?","famous orator and statesman, author of speeches and philosophical works",History,Ancient Rome,starter
"In Roman diet, what was garum?",fermented fish sauce widely used in Roman cooking,History,Ancient Rome,mid
"In Roman engineering, what were Via Appia?","the Appian Way, a major Roman road",History,Ancient Rome,starter
"In Roman literature, who was Horace?",poet known for odes and satires,History,Ancient Rome,mid
What was the Roman festival of Consualia?,"festival celebrating Consus, linked to horses and chariot races",History,Ancient Rome,starter
What was the Roman festival of Parentalia?,festival to honour ancestors and the dead,History,Ancient Rome,mid
"In Roman economy, what was the sestertius?",bronze coin of lower value,History,Ancient Rome,mid
"In Roman engineering, what were Cloaca Maxima?",Rome's great sewer system,History,Ancient Rome,starter
"In Roman economy, what was the aureus?",gold coin used in the empire,History,Ancient Rome,mid
"In the Roman army, what was a eagle standard?",symbol of a Roman legion,History,Ancient Rome,hard
"In Roman engineering, what were concrete?",building material perfected by Romans,History,Ancient Rome,starter
"In Roman economy, what was the denarius?",standard Roman silver coin,History,Ancient Rome,starter
"In Roman diet, what was bread?","daily staple of most Romans, provided in state dole",History,Ancient Rome,hard
"In Roman government, what was the role of a censor?",official responsible for census and public morals,History,Ancient Rome,mid
"In Roman engineering, what were arch?",architectural feature enabling large durable structures,History,Ancient Rome,starter
"In the Roman army, what was a testudo?",tortoise shield formation,History,Ancient Rome,starter
"In Roman religion, who was Janus?",god of beginnings and doorways,History,Ancient Rome,mid
What was the Roman festival of Saturnalia?,festival in December honouring Saturn with gift‑giving and role reversals,History,Ancient Rome,hard
What was the Roman festival of Floralia?,festival for the goddess Flora with theatrical performances,History,Ancient Rome,starter
"In Roman diet, what was wine?","most common drink, consumed diluted",History,Ancient Rome,starter
"In Roman religion, who was Vesta?",goddess of the hearth,History,Ancient Rome,hard
"In Roman economy, what was the annona?",grain supply system for the city of Rome,History,Ancient Rome,mid
"In Roman literature, who was Juvenal?",satirist criticising Roman society,History,Ancient Rome,starter
"In Roman economy, what was the portorium?",customs duty on goods,History,Ancient Rome,mid
"In Roman diet, what was olive oil?",essential for cooking and lamps,History,Ancient Rome,mid
"In Roman religion, who was Jupiter?","chief Roman god, king of the gods",History,Ancient Rome,hard
"In Roman literature, who was Catullus?",poet of love lyrics,History,Ancient Rome,hard
"In the Roman army, what was a pilum?",heavy javelin carried by legionaries,History,Ancient Rome,starter
"In Roman religion, who was Mars?",god of war,History,Ancient Rome,hard
"In Roman government, what was the role of a senate?",council of aristocrats guiding policy,History,Ancient Rome,mid
"In the Roman army, what was a gladius?",short sword of Roman infantry,History,Ancient Rome,mid
"In Roman government, what was the role of a consul?",highest annual magistrate office,History,Ancient Rome,mid
"In Roman engineering, what were aqueducts?",structures carrying water into cities,History,Ancient Rome,mid
When did the Sack of Rome by the Gauls occur?,390 BC,History,Ancient Rome,mid
"In Roman society, what were insula?",apartment blocks for poor Romans,History,Ancient Rome,mid
Which battle saw Crassus defeated by Parthians in 53 BC?,Battle of Carrhae,History,Ancient Rome,mid
Which Roman emperor was known as step‑son and successor of Augustus?,Tiberius,History,Ancient Rome,starter
Which Roman emperor was known as dictator assassinated in 44 BC?,Julius Caesar,History,Ancient Rome,starter
Which Roman law or reform was earliest codification of Roman law (c. 450 BC)?,Twelve Tables,History,Ancient Rome,mid
When did the Year of the Four Emperors occur?,AD 69,History,Ancient Rome,mid
"In Roman religion, who or what was Mithras?",deity worshipped in a mystery cult,History,Ancient Rome,starter
"In Roman literature, who was Suetonius?",biographer who wrote 'The Twelve Caesars',History,Ancient Rome,starter
"In the Roman army, what was a aquila?",eagle standard of a legion,History,Ancient Rome,starter
"In Roman literature, who was Pliny the Elder?",author of 'Natural History',History,Ancient Rome,starter
Which Roman emperor was known as emperor during the Great Fire of Rome?,Nero,History,Ancient Rome,hard
"In Roman economy, what was the coloni?",tenant farmers tied to the land,History,Ancient Rome,hard
"In the Roman Empire, what was Aegyptus?",province directly controlled by the emperor after 30 BC,History,Ancient Rome,hard
"In Roman society, what were collegia?",associations or guilds of craftsmen,History,Ancient Rome,starter
Which battle saw Hannibal's victory over Rome in 216 BC?,Battle of Cannae,History,Ancient Rome,starter
"In the Roman army, what was a cohort?",tactical subdivision of a legion,History,Ancient Rome,mid
"In Roman religion, who or what was Isis?",Egyptian goddess with a cult in Rome,History,Ancient Rome,hard
When did the Fall of Western Roman Empire occur?,AD 476,History,Ancient Rome,hard
Which Roman law or reform was restricted senators from owning large ships (218 BC)?,Lex Claudia,History,Ancient Rome,starter
"In the Roman army, what was a century?",unit of ~80 men led by a centurion,History,Ancient Rome,starter
"In Roman society, what were latifundia?",large agricultural estates,History,Ancient Rome,starter
Which Roman emperor was known as assassinated by the Praetorian Guard?,Caligula,History,Ancient Rome,mid
"In Roman religion, who or what was Lupercalia?",festival of purification and fertility,History,Ancient Rome,mid
Which battle saw Caesar defeated Pompey in 48 BC?,Battle of Pharsalus,History,Ancient Rome,mid
When did the Division of the Empire occur?,AD 285,History,Ancient Rome,starter
"In Roman society, what were slavery?",system providing much of the Roman labour force,History,Ancient Rome,mid
Which battle saw Scipio Africanus defeated Hannibal in 202 BC?,Battle of Zama,History,Ancient Rome,mid
"In Roman engineering, what was the Hadrian's Wall?",frontier defence in northern Britain,History,Ancient Rome,starter
"Which Roman emperor was known as Stoic philosopher, author of 'Meditations'?",Marcus Aurelius,History,Ancient Rome,starter
"In Roman engineering, what was the Cloaca Maxima?",Rome's great sewer system,History,Ancient Rome,mid
Which Roman emperor was known as founded the Severan dynasty?,Septimius Severus,History,Ancient Rome,hard
"In Roman engineering, what was the Via Appia?",major Roman road linking Rome to the south,History,Ancient Rome,mid
"In Roman religion, who or what was Saturnalia?",festival of Saturn with gift‑giving and role reversals,History,Ancient Rome,hard
"In Roman engineering, what was the Pantheon?",temple with a vast concrete dome,History,Ancient Rome,starter
"In Roman literature, who was Livy?",historian who wrote 'Ab Urbe Condita',History,Ancient Rome,starter
Which Roman emperor was known as last emperor of the Flavian dynasty?,Domitian,History,Ancient Rome,mid
Which Roman emperor was known as legalised Christianity with the Edict of Milan?,Constantine the Great,History,Ancient Rome,mid
Which battle saw Constantine defeated Maxentius in AD 312?,Battle of Milvian Bridge,History,Ancient Rome,mid
