prompt,answer,topic,family,difficulty
Who wrote 'Canzoniere'?,Petrarch,Literature,Literature,mid
Who wrote 'Gravity's Rainbow'?,Thomas Pynchon,Literature,Literature,starter
Who wrote 'Life of Pi'?,Yann Martel,Literature,Literature,hard
What is 'magical realism'?,Realistic narrative blended with magical elements,Literature,Literature,mid
Who wrote 'Dead Souls'?,Nikolai Gogol,Literature,Literature,mid
Who wrote 'Pedro Páramo'?,Juan Rulfo,Literature,Literature,mid
Who wrote 'In Search of Lost Time'?,Marcel Proust,Literature,Literature,starter
Who wrote 'July's People'?,Nadine Gordimer,Literature,Literature,starter
Who wrote 'The Amazing Adventures of Kavalier & Clay'?,Michael Chabon,Literature,Literature,starter
Who wrote 'The Wind-Up Bird Chronicle'?,Haruki Murakami,Literature,Literature,mid
Who wrote 'The Cherry Orchard'?,Anton Chekhov,Literature,Literature,mid
Who wrote 'The Makioka Sisters'?,Jun'ichirō Tanizaki,Literature,Literature,mid
Who wrote 'Metamorphoses'?,Ovid,Literature,Literature,hard
Who wrote 'Mansfield Park'?,Jane Austen,Literature,Literature,mid
Who wrote 'Othello'?,William Shakespeare,Literature,Literature,starter
Who wrote 'Madame Bovary'?,Gustave Flaubert,Literature,Literature,mid
What is 'free verse'?,Poetry without regular meter or rhyme,Literature,Literature,hard
Who wrote 'The Red Badge of Courage'?,Stephen Crane,Literature,Literature,starter
Who wrote 'The Bell Jar'?,Sylvia Plath,Literature,Literature,starter
Who wrote 'The Tempest'?,William Shakespeare,Literature,Literature,mid
Who wrote 'A Grain of Wheat'?,Ngũgĩ wa Thiong'o,Literature,Literature,starter
What is a 'pseudonym'?,A pen name used by an author,Literature,Literature,hard
Who wrote 'Nine Stories'?,J.D. Salinger,Literature,Literature,mid
Who wrote 'Bleak House'?,Charles Dickens,Literature,Literature,mid
Who wrote 'David Copperfield'?,Charles Dickens,Literature,Literature,starter
Who wrote 'The Time of the Hero'?,Mario Vargas Llosa,Literature,Literature,mid
Who won the Nobel Prize in Literature in 1991?,Nadine Gordimer,Literature,Literature,mid
Who wrote 'Much Ado About Nothing'?,William Shakespeare,Literature,Literature,starter
Who wrote 'A Good Man Is Hard to Find'?,Flannery O'Connor,Literature,Literature,mid
What is a 'novella'?,A short novel,Literature,Literature,starter
Who wrote 'White Noise'?,Don DeLillo,Literature,Literature,starter
Who wrote 'Steppenwolf'?,Hermann Hesse,Literature,Literature,starter
Who wrote 'The Hitchhiker's Guide to the Galaxy'?,Douglas Adams,Literature,Literature,starter
Who wrote 'Death and the King's Horseman'?,Wole Soyinka,Literature,Literature,hard
Who wrote 'For Whom the Bell Tolls'?,Ernest Hemingway,Literature,Literature,mid
Who wrote 'King Lear'?,William Shakespeare,Literature,Literature,starter
Who wrote 'The Woman in the Dunes'?,Kōbō Abe,Literature,Literature,mid
Who wrote 'The Castle'?,Franz Kafka,Literature,Literature,starter
What is an 'epistolary novel'?,A novel told through letters or documents,Literature,Literature,starter
Who won the Nobel Prize in Literature in 2006?,Orhan Pamuk,Literature,Literature,starter
Who wrote 'Chronicle of a Death Foretold'?,Gabriel García Márquez,Literature,Literature,hard
"Who wrote 'Absalom, Absalom!'?",William Faulkner,Literature,Literature,mid
Who wrote 'Northanger Abbey'?,Jane Austen,Literature,Literature,hard
Who wrote 'The Scarlet Letter'?,Nathaniel Hawthorne,Literature,Literature,starter
What is a 'bildungsroman'?,A coming-of-age novel,Literature,Literature,hard
Who wrote 'Three Sisters'?,Anton Chekhov,Literature,Literature,hard
Who wrote 'Kafka on the Shore'?,Haruki Murakami,Literature,Literature,mid
Who wrote 'Sense and Sensibility'?,Jane Austen,Literature,Literature,mid
Who wrote 'Sapiens'?,Yuval Noah Harari,Literature,Literature,mid
Who wrote 'The Decameron'?,Giovanni Boccaccio,Literature,Literature,starter
Who wrote 'In Cold Blood'?,Truman Capote,Literature,Literature,mid
"Who shared the Booker Prize in 2019 for 'The Testaments' and 'Girl, Woman, Other'?",Margaret Atwood and Bernardine Evaristo,Literature,Literature,starter
Who wrote 'Emma'?,Jane Austen,Literature,Literature,mid
Who wrote 'Hopscotch'?,Julio Cortázar,Literature,Literature,starter
Who wrote 'If on a winter's night a traveler'?,Italo Calvino,Literature,Literature,starter
Who won the Nobel Prize in Literature in 2017?,Kazuo Ishiguro,Literature,Literature,starter
Who wrote 'Palace Walk'?,Naguib Mahfouz,Literature,Literature,mid
Which novel won the Pulitzer Prize for Fiction in 1961?,To Kill a Mockingbird,Literature,Literature,starter
Who wrote 'The Da Vinci Code'?,Dan Brown,Literature,Literature,starter
Who wrote 'Death in Venice'?,Thomas Mann,Literature,Literature,mid
Who wrote 'On the Road'?,Jack Kerouac,Literature,Literature,starter
Who wrote 'Lolita'?,Vladimir Nabokov,Literature,Literature,starter
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Literature,Literature,starter
Who wrote 'Song of Solomon'?,Toni Morrison,Literature,Literature,mid
What is an 'oxymoron'?,A combination of contradictory terms,Literature,Literature,hard
Who wrote 'The Magic Mountain'?,Thomas Mann,Literature,Literature,starter
Who wrote 'American Pastoral'?,Philip Roth,Literature,Literature,hard
Who wrote 'I Know Why the Caged Bird Sings'?,Maya Angelou,Literature,Literature,mid
Which author wrote the 'A Song of Ice and Fire' series?,George R.R. Martin,Literature,Literature,starter
Who wrote 'The Color Purple'?,Alice Walker,Literature,Literature,mid
Who wrote 'Anna Karenina'?,Leo Tolstoy,Literature,Literature,mid
What is 'alliteration'?,Repetition of initial consonant sounds,Literature,Literature,mid
Who wrote 'Half of a Yellow Sun'?,Chimamanda Ngozi Adichie,Literature,Literature,hard
Who wrote 'The Kite Runner'?,Khaled Hosseini,Literature,Literature,starter
Who wrote 'Don Juan'?,Lord Byron,Literature,Literature,starter
Who wrote 'Season of Migration to the North'?,Tayeb Salih,Literature,Literature,mid
Who wrote 'The Heart Is a Lonely Hunter'?,Carson McCullers,Literature,Literature,mid
Who wrote 'Disgrace'?,J.M. Coetzee,Literature,Literature,mid
Who wrote 'The Myth of Sisyphus'?,Albert Camus,Literature,Literature,hard
Who wrote 'The Plague'?,Albert Camus,Literature,Literature,mid
Who wrote 'White Teeth'?,Zadie Smith,Literature,Literature,hard
Who wrote 'As I Lay Dying'?,William Faulkner,Literature,Literature,mid
Who wrote 'The Remains of the Day'?,Kazuo Ishiguro,Literature,Literature,hard
Who wrote 'The Name of the Wind'?,Patrick Rothfuss,Literature,Literature,mid
Who won the Booker Prize for 'Midnight's Children'?,Salman Rushdie,Literature,Literature,mid
Who wrote 'Siddhartha'?,Hermann Hesse,Literature,Literature,starter
Who wrote 'Germinal'?,Émile Zola,Literature,Literature,starter
Who wrote 'The Temple of the Golden Pavilion'?,Yukio Mishima,Literature,Literature,hard
Who wrote 'A Brief History of Time'?,Stephen Hawking,Literature,Literature,mid
Who wrote 'The Aeneid'?,Virgil,Literature,Literature,starter
Who wrote 'The Book of Disquiet'?,Fernando Pessoa,Literature,Literature,starter
Who wrote 'Kubla Khan'?,Samuel Taylor Coleridge,Literature,Literature,mid
What is a 'soliloquy'?,A speech by a character to themselves on stage,Literature,Literature,hard
Who wrote 'Never Let Me Go'?,Kazuo Ishiguro,Literature,Literature,starter
Who wrote 'The Sun Also Rises'?,Ernest Hemingway,Literature,Literature,starter
Who wrote 'Snow Country'?,Yasunari Kawabata,Literature,Literature,mid
Who wrote 'The Golden Compass'?,Philip Pullman,Literature,Literature,hard
Who wrote 'Notes from Underground'?,Fyodor Dostoevsky,Literature,Literature,starter
Who wrote 'The Girl with the Dragon Tattoo'?,Stieg Larsson,Literature,Literature,hard
Who wrote 'The Red and the Black'?,Stendhal,Literature,Literature,hard
What is 'hyperbole'?,Exaggeration for effect,Literature,Literature,starter
What is a 'ghazal'?,A form of Persian love poem,Literature,Literature,starter
"Who wrote 'Felix Holt, the Radical'?",George Eliot,Literature,Literature,mid
What is 'imagery'?,Descriptive language appealing to senses,Literature,Literature,hard
What is 'parody'?,Imitative work for comic effect,Literature,Literature,starter
Who wrote 'The Return of the Native'?,Thomas Hardy,Literature,Literature,mid
Who wrote 'Romance of the Three Kingdoms'?,Luo Guanzhong,Literature,Literature,hard
What is 'metaphor'?,A figure of speech comparing unlike things,Literature,Literature,hard
Who wrote 'The Black Prince'?,Iris Murdoch,Literature,Literature,starter
What is a 'motif'?,A recurring element in a story,Literature,Literature,starter
Who wrote 'The Secret Agent'?,Joseph Conrad,Literature,Literature,starter
What is a 'haiku'?,A Japanese poem of 17 syllables,Literature,Literature,mid
What is a 'prologue'?,Introductory section of a work,Literature,Literature,starter
What is an 'epilogue'?,Concluding section of a work,Literature,Literature,mid
Who wrote 'Nostromo'?,Joseph Conrad,Literature,Literature,starter
What is a 'tanka'?,A Japanese poem of 31 syllables,Literature,Literature,mid
What is 'epic' poetry?,A long narrative poem on heroic deeds,Literature,Literature,mid
Who wrote 'The Turn of the Screw'?,Henry James,Literature,Literature,mid
Who wrote 'Dubliners'?,James Joyce,Literature,Literature,starter
What is a 'tragedy'?,A dramatic work with a sorrowful ending,Literature,Literature,mid
What is 'flashback'?,Scene set in an earlier time,Literature,Literature,hard
Who wrote 'Middlemarch'?,George Eliot,Literature,Literature,starter
Who wrote 'The Mill on the Floss'?,George Eliot,Literature,Literature,mid
Who wrote 'Shalimar the Clown'?,Salman Rushdie,Literature,Literature,starter
Who wrote 'I Am a Cat'?,Natsume Sōseki,Literature,Literature,starter
Who wrote 'Women in Love'?,D.H. Lawrence,Literature,Literature,hard
Who wrote 'A House for Mr Biswas'?,V.S. Naipaul,Literature,Literature,hard
Who wrote 'The Ground Beneath Her Feet'?,Salman Rushdie,Literature,Literature,starter
Who wrote 'Sons and Lovers'?,D.H. Lawrence,Literature,Literature,starter
Who wrote 'Water Margin'?,Shi Nai'an,Literature,Literature,starter
What is 'stream of consciousness'?,Narrative mode reflecting inner thoughts,Literature,Literature,hard
What is 'allegory'?,A story with symbolic meaning,Literature,Literature,hard
Who wrote 'The Moor's Last Sigh'?,Salman Rushdie,Literature,Literature,starter
Who wrote 'Botchan'?,Natsume Sōseki,Literature,Literature,mid
Who wrote 'Lady Chatterley's Lover'?,D.H. Lawrence,Literature,Literature,hard
What is 'ode'?,A lyrical poem expressing admiration,Literature,Literature,mid
Who wrote 'A Portrait of the Artist as a Young Man'?,James Joyce,Literature,Literature,mid
Who wrote 'Silas Marner'?,George Eliot,Literature,Literature,starter
Who wrote 'The Rainbow'?,D.H. Lawrence,Literature,Literature,starter
Who wrote 'The Portrait of a Lady'?,Henry James,Literature,Literature,mid
Who wrote 'The Mayor of Casterbridge'?,Thomas Hardy,Literature,Literature,mid
Who wrote 'Silent House'?,Orhan Pamuk,Literature,Literature,starter
What is 'naturalism' in literature?,Style focusing on realistic depiction of life,Literature,Literature,starter
"Who wrote 'The Sea, The Sea'?",Iris Murdoch,Literature,Literature,starter
Who wrote 'The Wings of the Dove'?,Henry James,Literature,Literature,hard
Who wrote 'The Narrow Road to the Deep North'?,Matsuo Bashō,Literature,Literature,starter
Who wrote 'In a Free State'?,V.S. Naipaul,Literature,Literature,mid
Who wrote 'The Enigma of Arrival'?,V.S. Naipaul,Literature,Literature,starter
Who wrote 'Finnegans Wake'?,James Joyce,Literature,Literature,hard
Who wrote 'Snow'?,Orhan Pamuk,Literature,Literature,mid
What is a 'parable'?,Story with a moral lesson,Literature,Literature,mid
What is 'magnum opus'?,Greatest work of an author,Literature,Literature,mid
Who wrote 'The Ambassadors'?,Henry James,Literature,Literature,mid
Who wrote 'A Bend in the River'?,V.S. Naipaul,Literature,Literature,hard
What is 'intertextuality'?,Relationship between texts,Literature,Literature,mid
