prompt,answer,topic,family,difficulty
19 x 19,361,Multiplication,Times_19,very hard
15 x 15,225,Multiplication,Times_15,hard
678 - 14,664,Subtraction,Subtraction_Hard,hard
55 - 21,34,Subtraction,Subtraction_Easy,easy
598 - 259,339,Subtraction,Subtraction_Medium,medium
13 x 10,130,Multiplication,Times_13,hard
880 - 674,206,Subtraction,Subtraction_Medium,medium
734 - 141,593,Subtraction,Subtraction_Hard,hard
31 + 29,60,Addition,Addition_Easy,easy
5 x 15,75,Multiplication,Times_5,hard
9 x 12,108,Multiplication,Times_9,medium
210 / 15,14,Division,Division_Medium,medium
236 + 86,322,Addition,Addition_Medium,medium
15 x 20,300,Multiplication,Times_15,very hard
88 / 8,11,Division,Division_Medium,medium
5 x 13,65,Multiplication,Times_5,hard
4 x 9,36,Multiplication,Times_4,easy
12 x 20,240,Multiplication,Times_12,very hard
861 - 288,573,Subtraction,Subtraction_Hard,hard
298 + 419,717,Addition,Addition_Hard,hard
113 + 88,201,Addition,Addition_Medium,medium
939 + 910,1849,Addition,Addition_Hard,hard
522 + 427,949,Addition,Addition_Hard,hard
182 - 65,117,Subtraction,Subtraction_Medium,medium
321 + 964,1285,Addition,Addition_Hard,hard
381 - 81,300,Subtraction,Subtraction_Medium,medium
956 - 349,607,Subtraction,Subtraction_Hard,hard
11 + 12,23,Addition,Addition_Easy,easy
15 x 17,255,Multiplication,Times_15,very hard
6 x 11,66,Multiplication,Times_6,medium
399 + 419,818,Addition,Addition_Hard,hard
95 - 66,29,Subtraction,Subtraction_Easy,easy
650 - 121,529,Subtraction,Subtraction_Hard,hard
438 + 985,1423,Addition,Addition_Hard,hard
320 / 16,20,Division,Division_Medium,medium
6 x 5,30,Multiplication,Times_6,easy
30-Mar,10,Division,Division_Easy,easy
15 x 5,75,Multiplication,Times_15,hard
201 + 142,343,Addition,Addition_Medium,medium
120 / 5,24,Division,Division_Medium,medium
11 x 6,66,Multiplication,Times_11,medium
255 - 7,248,Subtraction,Subtraction_Medium,medium
108 / 6,18,Division,Division_Medium,medium
925 - 8,917,Subtraction,Subtraction_Hard,hard
987 + 441,1428,Addition,Addition_Hard,hard
504 - 239,265,Subtraction,Subtraction_Medium,medium
8 x 12,96,Multiplication,Times_8,medium
4 x 4,16,Multiplication,Times_4,easy
3 x 8,24,Multiplication,Times_3,easy
8 x 11,88,Multiplication,Times_8,medium
20 x 4,80,Multiplication,Times_20,very hard
9 x 5,45,Multiplication,Times_9,easy
9 x 3,27,Multiplication,Times_9,easy
4 x 14,56,Multiplication,Times_4,hard
212 - 181,31,Subtraction,Subtraction_Easy,easy
927 - 420,507,Subtraction,Subtraction_Hard,hard
578 / 17,34,Division,Division_Hard,hard
663 + 821,1484,Addition,Addition_Hard,hard
16 x 2,32,Multiplication,Times_16,very hard
2 x 19,38,Multiplication,Times_2,very hard
485 - 317,168,Subtraction,Subtraction_Medium,medium
15 x 8,120,Multiplication,Times_15,hard
420 + 824,1244,Addition,Addition_Hard,hard
12 x 11,132,Multiplication,Times_12,medium
469 - 247,222,Subtraction,Subtraction_Medium,medium
3 x 14,42,Multiplication,Times_3,hard
9 + 6,15,Addition,Addition_Easy,easy
762 + 501,1263,Addition,Addition_Hard,hard
10 x 4,40,Multiplication,Times_10,easy
211 - 127,84,Subtraction,Subtraction_Easy,easy
130 - 93,37,Subtraction,Subtraction_Easy,easy
5 x 12,60,Multiplication,Times_5,medium
328 + 688,1016,Addition,Addition_Hard,hard
728 - 439,289,Subtraction,Subtraction_Medium,medium
14 x 13,182,Multiplication,Times_14,hard
9 x 9,81,Multiplication,Times_9,easy
20 + 21,41,Addition,Addition_Easy,easy
273 - 249,24,Subtraction,Subtraction_Easy,easy
19 x 5,95,Multiplication,Times_19,very hard
401 - 55,346,Subtraction,Subtraction_Medium,medium
11 x 9,99,Multiplication,Times_11,medium
5 x 2,10,Multiplication,Times_5,easy
14 x 6,84,Multiplication,Times_14,hard
13 + 12,25,Addition,Addition_Easy,easy
312 / 8,39,Division,Division_Hard,hard
10 x 10,100,Multiplication,Times_10,easy
20 x 13,260,Multiplication,Times_20,very hard
142 - 7,135,Subtraction,Subtraction_Medium,medium
512 + 657,1169,Addition,Addition_Hard,hard
38 + 35,73,Addition,Addition_Easy,easy
3 x 9,27,Multiplication,Times_3,easy
248 - 131,117,Subtraction,Subtraction_Medium,medium
12 x 18,216,Multiplication,Times_12,very hard
522 / 18,29,Division,Division_Hard,hard
197 + 172,369,Addition,Addition_Medium,medium
120 / 5,24,Division,Division_Medium,medium
138 + 157,295,Addition,Addition_Medium,medium
12 x 15,180,Multiplication,Times_12,hard
5 x 8,40,Multiplication,Times_5,easy
137 + 135,272,Addition,Addition_Medium,medium
15 x 19,285,Multiplication,Times_15,very hard
13 + 16,29,Addition,Addition_Easy,easy
232 + 218,450,Addition,Addition_Medium,medium
15 x 3,45,Multiplication,Times_15,hard
4 x 10,40,Multiplication,Times_4,easy
337 - 116,221,Subtraction,Subtraction_Medium,medium
709 - 347,362,Subtraction,Subtraction_Medium,medium
224 / 8,28,Division,Division_Hard,hard
140 + 68,208,Addition,Addition_Medium,medium
590 - 357,233,Subtraction,Subtraction_Medium,medium
664 - 246,418,Subtraction,Subtraction_Medium,medium
14 x 10,140,Multiplication,Times_14,hard
7 x 5,35,Multiplication,Times_7,easy
246 - 213,33,Subtraction,Subtraction_Easy,easy
763 - 166,597,Subtraction,Subtraction_Hard,hard
11 x 4,44,Multiplication,Times_11,medium
802 + 789,1591,Addition,Addition_Hard,hard
731 / 17,43,Division,Division_Hard,hard
15 x 14,210,Multiplication,Times_15,hard
9 x 14,126,Multiplication,Times_9,hard
172 + 212,384,Addition,Addition_Medium,medium
12 x 14,168,Multiplication,Times_12,hard
481 - 279,202,Subtraction,Subtraction_Medium,medium
765 - 661,104,Subtraction,Subtraction_Medium,medium
272 / 16,17,Division,Division_Medium,medium
16 x 19,304,Multiplication,Times_16,very hard
569 - 393,176,Subtraction,Subtraction_Medium,medium
545 + 218,763,Addition,Addition_Hard,hard
51 - 49,2,Subtraction,Subtraction_Easy,easy
11 x 15,165,Multiplication,Times_11,hard
11 + 19,30,Addition,Addition_Easy,easy
377 - 289,88,Subtraction,Subtraction_Easy,easy
260 / 10,26,Division,Division_Hard,hard
281 + 314,595,Addition,Addition_Hard,hard
18 x 19,342,Multiplication,Times_18,very hard
13 x 2,26,Multiplication,Times_13,hard
221 + 214,435,Addition,Addition_Hard,hard
245 + 186,431,Addition,Addition_Medium,medium
804 - 587,217,Subtraction,Subtraction_Medium,medium
6 x 9,54,Multiplication,Times_6,easy
165 + 129,294,Addition,Addition_Medium,medium
709 - 92,617,Subtraction,Subtraction_Hard,hard
82 - 19,63,Subtraction,Subtraction_Easy,easy
9 x 16,144,Multiplication,Times_9,very hard
423 - 92,331,Subtraction,Subtraction_Medium,medium
7 x 8,56,Multiplication,Times_7,easy
17 x 8,136,Multiplication,Times_17,very hard
410 + 500,910,Addition,Addition_Hard,hard
160 / 16,10,Division,Division_Easy,easy
16 x 13,208,Multiplication,Times_16,very hard
11 x 11,121,Multiplication,Times_11,medium
18 x 16,288,Multiplication,Times_18,very hard
20 x 15,300,Multiplication,Times_20,very hard
76 + 178,254,Addition,Addition_Medium,medium
19 x 7,133,Multiplication,Times_19,very hard
8 x 16,128,Multiplication,Times_8,very hard
18 x 20,360,Multiplication,Times_18,very hard
2 x 4,8,Multiplication,Times_2,easy
9 x 10,90,Multiplication,Times_9,easy
7 x 15,105,Multiplication,Times_7,hard
203 + 87,290,Addition,Addition_Medium,medium
465 / 15,31,Division,Division_Hard,hard
650 - 160,490,Subtraction,Subtraction_Medium,medium
229 + 193,422,Addition,Addition_Medium,medium
344 - 313,31,Subtraction,Subtraction_Easy,easy
2 x 6,12,Multiplication,Times_2,easy
12 x 3,36,Multiplication,Times_12,medium
15 x 12,180,Multiplication,Times_15,hard
18 x 12,216,Multiplication,Times_18,very hard
11 x 3,33,Multiplication,Times_11,medium
3 x 3,9,Multiplication,Times_3,easy
416 - 14,402,Subtraction,Subtraction_Medium,medium
20 x 11,220,Multiplication,Times_20,very hard
129 + 156,285,Addition,Addition_Medium,medium
681 + 442,1123,Addition,Addition_Hard,hard
58 - 35,23,Subtraction,Subtraction_Easy,easy
47 + 38,85,Addition,Addition_Easy,easy
38 / 19,2,Division,Division_Easy,easy
14 x 15,210,Multiplication,Times_14,hard
538 - 445,93,Subtraction,Subtraction_Easy,easy
5 x 14,70,Multiplication,Times_5,hard
30 + 48,78,Addition,Addition_Easy,easy
17 + 26,43,Addition,Addition_Easy,easy
878 - 81,797,Subtraction,Subtraction_Hard,hard
135 / 5,27,Division,Division_Hard,hard
665 / 19,35,Division,Division_Hard,hard
119 - 87,32,Subtraction,Subtraction_Easy,easy
4 x 18,72,Multiplication,Times_4,very hard
10 x 5,50,Multiplication,Times_10,easy
26 + 23,49,Addition,Addition_Easy,easy
705 + 577,1282,Addition,Addition_Hard,hard
9 x 11,99,Multiplication,Times_9,medium
619 - 195,424,Subtraction,Subtraction_Medium,medium
6 x 3,18,Multiplication,Times_6,easy
21 + 33,54,Addition,Addition_Easy,easy
278 - 180,98,Subtraction,Subtraction_Easy,easy
