prompt,answer,topic,family,difficulty
Which artist recorded the 1980s hit 'Vacation'?,The Go-Go's,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Nothing's Gonna Stop Me Now'?,Samantha Fox,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Walk Like an Egyptian'?,The Bangles,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Like a Virgin'?,Madonna,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Love Is a Battlefield'?,Pat Benatar,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Eternal Flame'?,The Bangles,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Could've Been'?,Tiffany,80s female icons,Music,mid
Which artist recorded the 1980s hit 'This Time I Know It's for Real'?,Donna Summer,80s female icons,Music,mid
Which artist recorded the 1980s hit 'How Will I Know'?,Whitney Houston,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Manchild'?,Neneh Cherry,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Material Girl'?,Madonna,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Toy Soldiers'?,Martika,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Kids in America'?,Kim Wilde,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Like a Prayer'?,Madonna,80s female icons,Music,mid
Which artist recorded the 1980s hit '99 Red Balloons'?,Nena,80s female icons,Music,mid
Which artist recorded the 1980s hit 'The Look'?,Roxette,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Gloria'?,Laura Branigan,80s female icons,Music,mid
Which artist recorded the 1980s hit 'You Keep Me Hangin' On'?,Kim Wilde,80s female icons,Music,mid
Which artist recorded the 1980s hit 'What's Love Got to Do with It'?,Tina Turner,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Self Control'?,Laura Branigan,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Foolish Beat'?,Debbie Gibson,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Running Up That Hill (A Deal with God)'?,Kate Bush,80s female icons,Music,mid
Which artist recorded the 1980s hit 'We Belong'?,Pat Benatar,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Love Resurrection'?,Alison Moyet,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Straight Up'?,Paula Abdul,80s female icons,Music,mid
Which artist recorded the 1980s hit 'China in Your Hand'?,T'Pau,80s female icons,Music,mid
Which artist recorded the 1980s hit 'She Works Hard for the Money'?,Donna Summer,80s female icons,Music,mid
Which artist recorded the 1980s hit 'So Emotional'?,Whitney Houston,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Touch Me (I Want Your Body)'?,Samantha Fox,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Circle in the Sand'?,Belinda Carlisle,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Joe le taxi'?,Vanessa Paradis,80s female icons,Music,mid
Which artist recorded the 1980s hit 'I Should Be So Lucky'?,Kylie Minogue,80s female icons,Music,mid
Which artist recorded the 1980s hit 'If I Could Turn Back Time'?,Cher,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Control'?,Janet Jackson,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Tramp'?,Salt-N-Pepa,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Is This Love?'?,Alison Moyet,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Forever Your Girl'?,Paula Abdul,80s female icons,Music,mid
Which artist recorded the 1980s hit 'For Your Eyes Only'?,Sheena Easton,80s female icons,Music,mid
Which artist recorded the 1980s hit 'I Wanna Dance with Somebody'?,Whitney Houston,80s female icons,Music,mid
Which artist recorded the 1980s hit 'True Colors'?,Cyndi Lauper,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Hounds of Love'?,Kate Bush,80s female icons,Music,mid
Which artist recorded the 1980s hit 'I Love Rock 'n Roll'?,Joan Jett & the Blackhearts,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Prove Your Love'?,Taylor Dayne,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Buffalo Stance'?,Neneh Cherry,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Tell It to My Heart'?,Taylor Dayne,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Morning Train (9 to 5)'?,Sheena Easton,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Only in My Dreams'?,Debbie Gibson,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Into the Groove'?,Madonna,80s female icons,Music,mid
Which artist recorded the 1980s hit 'The Only Way Is Up'?,Yazz,80s female icons,Music,mid
Which artist recorded the 1980s hit 'We Got the Beat'?,The Go-Go's,80s female icons,Music,mid
Which artist recorded the 1980s hit 'The Best'?,Tina Turner,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Don't Go'?,Yazoo,80s female icons,Music,mid
Which artist recorded the 1980s hit 'I Found Someone'?,Cher,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Venus'?,Bananarama,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Listen to Your Heart'?,Roxette,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Smooth Operator'?,Sade,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Locomotion'?,Kylie Minogue,80s female icons,Music,mid
Which artist recorded the 1980s hit 'All Cried Out'?,Alison Moyet,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Babooshka'?,Kate Bush,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Je Ne Sais Pas Pourquoi'?,Kylie Minogue,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Only You'?,Yazoo,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Cruel Summer'?,Bananarama,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Robert De Niro's Waiting'?,Bananarama,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Girls Just Want to Have Fun'?,Cyndi Lauper,80s female icons,Music,mid
Which artist recorded the 1980s hit 'When I Think of You'?,Janet Jackson,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Nasty'?,Janet Jackson,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Heaven Is a Place on Earth'?,Belinda Carlisle,80s female icons,Music,mid
Which artist recorded the 1980s hit 'I Think We're Alone Now'?,Tiffany,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Push It'?,Salt-N-Pepa,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Time After Time'?,Cyndi Lauper,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Wind Beneath My Wings'?,Bette Midler,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Electric Youth'?,Debbie Gibson,80s female icons,Music,mid
Which artist recorded the 1980s hit 'The Sweetest Taboo'?,Sade,80s female icons,Music,mid
Which artist recorded the 1980s hit 'Don't You (Forget About Me)'?,Simple Minds (featuring Robin Clark),80s female icons,Music,mid
Which artist recorded the 1980s hit 'Total Eclipse of the Heart'?,Bonnie Tyler,80s female icons,Music,starter
