prompt,answer,topic,family,difficulty
Which artist released the 1980s album 'The Queen Is Dead'? (UK framing),The Smiths,1980s Albums ,Music,mid
Which artist released the 1980s album 'Meat Is Murder'? (UK framing),The Smiths,1980s Albums ,Music,mid
Which artist released the 1980s album 'Hatful of Hollow'? (UK framing),The Smiths,1980s Albums ,Music,mid
Which artist released the 1980s album 'Disintegration'? (UK framing),The Cure,1980s Albums ,Music,mid
Which artist released the 1980s album 'Seventeen Seconds'? (UK framing),The Cure,1980s Albums ,Music,mid
Which artist released the 1980s album 'The Head on the Door'? (UK framing),The Cure,1980s Albums ,Music,mid
"Which artist released the 1980s album 'Kiss Me, Kiss Me, Kiss Me'? (UK framing)",The Cure,1980s Albums ,Music,mid
Which artist released the 1980s album 'Brothers in Arms'? (UK framing),Dire Straits,1980s Albums ,Music,mid
Which artist released the 1980s album 'Love Over Gold'? (UK framing),Dire Straits,1980s Albums ,Music,mid
Which artist released the 1980s album 'Hounds of Love'? (UK framing),Kate Bush,1980s Albums ,Music,mid
Which artist released the 1980s album 'The Dreaming'? (UK framing),Kate Bush,1980s Albums ,Music,mid
Which artist released the 1980s album 'The Whole Story'? (UK framing),Kate Bush,1980s Albums ,Music,mid
Which artist released the 1980s album 'Let's Dance'? (UK framing),David Bowie,1980s Albums ,Music,mid
Which artist released the 1980s album 'Scary Monsters (and Super Creeps)'? (UK framing),David Bowie,1980s Albums ,Music,mid
Which artist released the 1980s album 'Faith'? (UK framing),George Michael,1980s Albums ,Music,mid
Which artist released the 1980s album 'Make It Big'? (UK framing),Wham!,1980s Albums ,Music,mid
Which artist released the 1980s album 'No Jacket Required'? (UK framing),Phil Collins,1980s Albums ,Music,mid
Which artist released the 1980s album 'Face Value'? (UK framing),Phil Collins,1980s Albums ,Music,mid
Which artist released the 1980s album 'So'? (UK framing),Peter Gabriel,1980s Albums ,Music,mid
Which artist released the 1980s album 'Sweet Dreams (Are Made of This)'? (UK framing),Eurythmics,1980s Albums ,Music,mid
Which artist released the 1980s album 'Revenge'? (UK framing),Eurythmics,1980s Albums ,Music,mid
Which artist released the 1980s album 'Synchronicity'? (UK framing),The Police,1980s Albums ,Music,mid
Which artist released the 1980s album 'A Kind of Magic'? (UK framing),Queen,1980s Albums ,Music,mid
Which artist released the 1980s album 'The Stone Roses'? (UK framing),The Stone Roses,1980s Albums ,Music,mid
"Which artist released the 1980s album 'Power, Corruption & Lies'? (UK framing)",New Order,1980s Albums ,Music,mid
Which artist released the 1980s album 'Low-Life'? (UK framing),New Order,1980s Albums ,Music,mid
Which artist released the 1980s album 'Technique'? (UK framing),New Order,1980s Albums ,Music,mid
Which artist released the 1980s album 'Music for the Masses'? (UK framing),Depeche Mode,1980s Albums ,Music,mid
Which artist released the 1980s album 'Black Celebration'? (UK framing),Depeche Mode,1980s Albums ,Music,mid
Which artist released the 1980s album 'Construction Time Again'? (UK framing),Depeche Mode,1980s Albums ,Music,mid
Which artist released the 1980s album 'Speak & Spell'? (UK framing),Depeche Mode,1980s Albums ,Music,mid
Which artist released the 1980s album 'Architecture & Morality'? (UK framing),Orchestral Manoeuvres in the Dark,1980s Albums ,Music,mid
Which artist released the 1980s album 'Dazzle Ships'? (UK framing),Orchestral Manoeuvres in the Dark,1980s Albums ,Music,mid
Which artist released the 1980s album 'Rio'? (UK framing),Duran Duran,1980s Albums ,Music,mid
Which artist released the 1980s album 'Seven and the Ragged Tiger'? (UK framing),Duran Duran,1980s Albums ,Music,mid
Which artist released the 1980s album 'Songs from the Big Chair'? (UK framing),Tears for Fears,1980s Albums ,Music,mid
Which artist released the 1980s album 'The Hurting'? (UK framing),Tears for Fears,1980s Albums ,Music,mid
Which artist released the 1980s album 'New Gold Dream (81–82–83–84)'? (UK framing),Simple Minds,1980s Albums ,Music,mid
Which artist released the 1980s album 'Once Upon a Time'? (UK framing),Simple Minds,1980s Albums ,Music,mid
Which artist released the 1980s album 'Dare'? (UK framing),The Human League,1980s Albums ,Music,mid
