prompt,answer,topic,family,difficulty
Which UK band recorded the 1980s hit 'A Little Respect'?,Erasure,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'She Bangs the Drums'?,The Stone Roses,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Don't Go'?,Yazoo,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Everything She Wants'?,Wham!,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Space Age Love Song'?,A Flock of Seagulls,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Too Much Too Young'?,The Specials,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Why Can't I Be You?'?,The Cure,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Pictures of You'?,The Cure,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'In a Big Country'?,Big Country,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Hold Me Now'?,Thompson Twins,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Lips Like Sugar'?,Echo & the Bunnymen,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Dear Prudence'?,Siouxsie and the Banshees,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Shake the Disease'?,Depeche Mode,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Sometimes'?,Erasure,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'It Must Be Love'?,Madness,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'There Is a Light That Never Goes Out'?,The Smiths,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Blasphemous Rumours'?,Depeche Mode,1980s UK — Bands (Song → Band),Music,mid
Which UK band recorded the 1980s hit 'Why?'?,Bronski Beat,1980s UK — Bands (Song → Band),Music,mid
