prompt,answer,topic,family,difficulty
Which artist took 'Billie Jean' into the UK charts in the 1980s?,Michael Jackson,1980s UK Chart Hits,Music,mid
Which artist took 'Straight Up' into the UK charts in the 1980s?,Paula Abdul,1980s UK Chart Hits,Music,mid
Which artist took 'Walking on Sunshine' into the UK charts in the 1980s?,Katrina and the Waves,1980s UK Chart Hits,Music,mid
Which artist took 'Nothing's Gonna Stop Us Now' into the UK charts in the 1980s?,Starship,1980s UK Chart Hits,Music,mid
Which artist took 'You Spin Me Round (Like a Record)' into the UK charts in the 1980s?,Dead or Alive,1980s UK Chart Hits,Music,mid
Which artist took 'Footloose' into the UK charts in the 1980s?,Kenny Loggins,1980s UK Chart Hits,Music,mid
Which artist took 'Every Loser Wins' into the UK charts in the 1980s?,Nick Berry,1980s UK Chart Hits,Music,mid
Which artist took 'Time After Time' into the UK charts in the 1980s?,Cyndi Lauper,1980s UK Chart Hits,Music,mid
Which artist took 'Do You Really Want to Hurt Me' into the UK charts in the 1980s?,Culture Club,1980s UK Chart Hits,Music,mid
Which artist took 'Another One Bites the Dust' into the UK charts in the 1980s?,Queen,1980s UK Chart Hits,Music,mid
Which artist took 'New Sensation' into the UK charts in the 1980s?,INXS,1980s UK Chart Hits,Music,mid
Which artist took 'The Power of Love' into the UK charts in the 1980s?,Huey Lewis and the News,1980s UK Chart Hits,Music,mid
Which artist took 'So Emotional' into the UK charts in the 1980s?,Whitney Houston,1980s UK Chart Hits,Music,mid
Which artist took 'Let's Dance' into the UK charts in the 1980s?,David Bowie,1980s UK Chart Hits,Music,mid
Which artist took 'The Lion Sleeps Tonight' into the UK charts in the 1980s?,Tight Fit,1980s UK Chart Hits,Music,mid
Which artist took 'With or Without You' into the UK charts in the 1980s?,U2,1980s UK Chart Hits,Music,mid
Which artist took 'Into the Groove' into the UK charts in the 1980s?,Madonna,1980s UK Chart Hits,Music,mid
Which artist took 'Don't You (Forget About Me)' into the UK charts in the 1980s?,Simple Minds,1980s UK Chart Hits,Music,mid
Which artist took 'Never Gonna Give You Up' into the UK charts in the 1980s?,Rick Astley,1980s UK Chart Hits,Music,mid
Which artist took 'Every Little Thing She Does Is Magic' into the UK charts in the 1980s?,The Police,1980s UK Chart Hits,Music,mid
Which artist took 'Blue Monday' into the UK charts in the 1980s?,New Order,1980s UK Chart Hits,Music,mid
Which artist took 'Like a Virgin' into the UK charts in the 1980s?,Madonna,1980s UK Chart Hits,Music,mid
Which artist took 'Red Red Wine' into the UK charts in the 1980s?,UB40,1980s UK Chart Hits,Music,mid
