prompt,answer,topic,family,difficulty
Hydrogen,H,Periodic Table,Elemental Symbol,medium
Helium,He,Periodic Table,Elemental Symbol,medium
Lithium,Li,Periodic Table,Elemental Symbol,medium
Beryllium,Be,Periodic Table,Elemental Symbol,medium
Boron,B,Periodic Table,Elemental Symbol,medium
Carbon,C,Periodic Table,Elemental Symbol,medium
Nitrogen,N,Periodic Table,Elemental Symbol,medium
Oxygen,O,Periodic Table,Elemental Symbol,medium
Fluorine,F,Periodic Table,Elemental Symbol,medium
Neon,Ne,Periodic Table,Elemental Symbol,medium
Sodium,Na,Periodic Table,Elemental Symbol,medium
Magnesium,Mg,Periodic Table,Elemental Symbol,medium
Aluminium,Al,Periodic Table,Elemental Symbol,medium
Silicon,Si,Periodic Table,Elemental Symbol,medium
Phosphorus,P,Periodic Table,Elemental Symbol,medium
Sulfur,S,Periodic Table,Elemental Symbol,medium
Chlorine,Cl,Periodic Table,Elemental Symbol,medium
Argon,Ar,Periodic Table,Elemental Symbol,medium
Potassium,K,Periodic Table,Elemental Symbol,medium
Calcium,Ca,Periodic Table,Elemental Symbol,medium
Scandium,Sc,Periodic Table,Elemental Symbol,medium
Titanium,Ti,Periodic Table,Elemental Symbol,medium
Vanadium,V,Periodic Table,Elemental Symbol,medium
Chromium,Cr,Periodic Table,Elemental Symbol,medium
Manganese,Mn,Periodic Table,Elemental Symbol,medium
Iron,Fe,Periodic Table,Elemental Symbol,medium
Cobalt,Co,Periodic Table,Elemental Symbol,medium
Nickel,Ni,Periodic Table,Elemental Symbol,medium
Copper,Cu,Periodic Table,Elemental Symbol,medium
Zinc,Zn,Periodic Table,Elemental Symbol,medium
Gallium,Ga,Periodic Table,Elemental Symbol,medium
Germanium,Ge,Periodic Table,Elemental Symbol,medium
Arsenic,As,Periodic Table,Elemental Symbol,medium
Selenium,Se,Periodic Table,Elemental Symbol,medium
Bromine,Br,Periodic Table,Elemental Symbol,medium
Krypton,Kr,Periodic Table,Elemental Symbol,medium
Rubidium,Rb,Periodic Table,Elemental Symbol,medium
Strontium,Sr,Periodic Table,Elemental Symbol,medium
Yttrium,Y,Periodic Table,Elemental Symbol,medium
Zirconium,Zr,Periodic Table,Elemental Symbol,medium
Niobium,Nb,Periodic Table,Elemental Symbol,medium
Molybdenum,Mo,Periodic Table,Elemental Symbol,medium
Technetium,Tc,Periodic Table,Elemental Symbol,medium
Ruthenium,Ru,Periodic Table,Elemental Symbol,medium
Rhodium,Rh,Periodic Table,Elemental Symbol,medium
Palladium,Pd,Periodic Table,Elemental Symbol,medium
Silver,Ag,Periodic Table,Elemental Symbol,medium
Cadmium,Cd,Periodic Table,Elemental Symbol,medium
Indium,In,Periodic Table,Elemental Symbol,medium
Tin,Sn,Periodic Table,Elemental Symbol,medium
Antimony,Sb,Periodic Table,Elemental Symbol,medium
Tellurium,Te,Periodic Table,Elemental Symbol,medium
Iodine,I,Periodic Table,Elemental Symbol,medium
Xenon,Xe,Periodic Table,Elemental Symbol,medium
Caesium,Cs,Periodic Table,Elemental Symbol,medium
Barium,Ba,Periodic Table,Elemental Symbol,medium
Lanthanum,La,Periodic Table,Elemental Symbol,medium
Cerium,Ce,Periodic Table,Elemental Symbol,medium
Praseodymium,Pr,Periodic Table,Elemental Symbol,medium
Neodymium,Nd,Periodic Table,Elemental Symbol,medium
Promethium,Pm,Periodic Table,Elemental Symbol,medium
Samarium,Sm,Periodic Table,Elemental Symbol,medium
Europium,Eu,Periodic Table,Elemental Symbol,medium
Gadolinium,Gd,Periodic Table,Elemental Symbol,medium
Terbium,Tb,Periodic Table,Elemental Symbol,medium
Dysprosium,Dy,Periodic Table,Elemental Symbol,medium
Holmium,Ho,Periodic Table,Elemental Symbol,medium
Erbium,Er,Periodic Table,Elemental Symbol,medium
Thulium,Tm,Periodic Table,Elemental Symbol,medium
Ytterbium,Yb,Periodic Table,Elemental Symbol,medium
Lutetium,Lu,Periodic Table,Elemental Symbol,medium
Hafnium,Hf,Periodic Table,Elemental Symbol,medium
Tantalum,Ta,Periodic Table,Elemental Symbol,medium
Tungsten,W,Periodic Table,Elemental Symbol,medium
Rhenium,Re,Periodic Table,Elemental Symbol,medium
Osmium,Os,Periodic Table,Elemental Symbol,medium
Iridium,Ir,Periodic Table,Elemental Symbol,medium
Platinum,Pt,Periodic Table,Elemental Symbol,medium
Gold,Au,Periodic Table,Elemental Symbol,medium
Mercury,Hg,Periodic Table,Elemental Symbol,medium
Thallium,Tl,Periodic Table,Elemental Symbol,medium
Lead,Pb,Periodic Table,Elemental Symbol,medium
Bismuth,Bi,Periodic Table,Elemental Symbol,medium
Polonium,Po,Periodic Table,Elemental Symbol,medium
Astatine,At,Periodic Table,Elemental Symbol,medium
Radon,Rn,Periodic Table,Elemental Symbol,medium
Francium,Fr,Periodic Table,Elemental Symbol,medium
Radium,Ra,Periodic Table,Elemental Symbol,medium
Actinium,Ac,Periodic Table,Elemental Symbol,medium
Thorium,Th,Periodic Table,Elemental Symbol,medium
Protactinium,Pa,Periodic Table,Elemental Symbol,medium
Uranium,U,Periodic Table,Elemental Symbol,medium
Neptunium,Np,Periodic Table,Elemental Symbol,medium
Plutonium,Pu,Periodic Table,Elemental Symbol,medium
Americium,Am,Periodic Table,Elemental Symbol,medium
Curium,Cm,Periodic Table,Elemental Symbol,medium
Berkelium,Bk,Periodic Table,Elemental Symbol,medium
Californium,Cf,Periodic Table,Elemental Symbol,medium
Einsteinium,Es,Periodic Table,Elemental Symbol,medium
Fermium,Fm,Periodic Table,Elemental Symbol,medium
Mendelevium,Md,Periodic Table,Elemental Symbol,medium
Nobelium,No,Periodic Table,Elemental Symbol,medium
Lawrencium,Lr,Periodic Table,Elemental Symbol,medium
Rutherfordium,Rf,Periodic Table,Elemental Symbol,medium
Dubnium,Db,Periodic Table,Elemental Symbol,medium
Seaborgium,Sg,Periodic Table,Elemental Symbol,medium
Bohrium,Bh,Periodic Table,Elemental Symbol,medium
Hassium,Hs,Periodic Table,Elemental Symbol,medium
Meitnerium,Mt,Periodic Table,Elemental Symbol,medium
Darmstadtium,Ds,Periodic Table,Elemental Symbol,medium
